Event Name,Date (DD/MM/YY),Event Type,Title,Organization,Program URL,Program,Format,Online / In-Person,Length,Organization URL,Event Promo,Full Length Video,Teaser Video,"City, Country",Full Address,Org Industry,Org Type,Organization Tags,Description,Elements,Topic Focus,Theme,Niche,Tags
KEA Digital Marketing Class,20-Oct-21,Class,Digital Ads,KEA,https://kea.dk/,Digital Marketing Curriculum,Teaching,In-Person,4 Hours,https://kea.dk/,-,-,-,"Copenhagen, Denmark","Guldbergsgade 29N, 2200 København N, Denmark",Higher Education,Business Academy,"applied learning, digital marketing, design and tech, Copenhagen, students","Paid acquisition basics, targeting, creative testing, tracking, performance optimization","paid media, targeting, tracking, creative testing, budget control",Paid acquisition,Digital Marketing Sales,Students,"digital ads, paid media, targeting, tracking, optimization"
GrowthHackers Conference 2021,19-Oct-21,Virtual Conference,"Retention for Fintech, a product-led approach to reducing churn with growth-hacking",GrowthHackers,https://growthhackers.com/conference/,GHConf21,Keynote,Online,35 Minutes,https://growthhackers.com/,-,https://www.youtube.com/watch?v=9Ia4y7TYMCE,-,"San Francisco, United States",-,Marketing Community and Education,Community Platform,"growth marketing, experimentation, community, events, playbooks","Retention strategy, churn diagnosis, lifecycle messaging, habit loops for fintech","cohort analysis, churn, onboarding, lifecycle, product analytics",Retention,Digital Marketing Sales,Fintech,"retention, fintech, churn, product-led growth, analytics"
KEA Digital Marketing Class,15-Oct-21,Class,SEO,KEA,-,-,Teaching,In-Person,4 Hours,https://kea.dk/,-,-,-,"Copenhagen, Denmark","Guldbergsgade 29N, 2200 København N, Denmark",Higher Education,Business Academy,"applied learning, digital marketing, design and tech, Copenhagen, students","SEO foundations, keyword research, on-page optimization, technical hygiene, measurement","keyword research, on-page SEO, technical SEO, content strategy, analytics",SEO,Digital Marketing Sales,Students,"SEO, keywords, content, technical SEO, analytics"
Antler Nordics Residency Session,12-Oct-21,Accelerator Program,"Early wins, quick hacks, and growth for early stage startups",Antler,https://www.antler.co/residency/denmark,Antler Nordics Residency,Workshop,In-Person,1 Hour,https://www.antler.co/,-,-,-,"Copenhagen, Denmark",-,Venture Capital,Venture Capital,"pre-seed investor, accelerator, founder community, Nordics, startup studio","Fast traction, experiment backlog, growth loops, early channel validation","growth loops, experiments, prioritization, ICP, metrics",Early traction,Start-ups and Entrepreneurship,Early-stage founders,"traction, growth hacking, experiments, startups, GTM"
Grundfos Growth-Hacking Workshop,4-Oct-21,Workshop,"2 Day Growth-hacking Workshop, building from zero, building innovation products with the internal team",Grundfos,-,Grundfos Innovation,Workshop,In-Person,2 Days,https://www.grundfos.com/,-,-,-,"Bjerringbro, Denmark","Poul Due Jensens Vej 7, 8850 Bjerringbro, Denmark",Industrial Manufacturing and Water Technology,Corporate,"water technology, manufacturing, sustainability, global enterprise, innovation","Corporate innovation sprint, customer discovery, MVP framing, experiments, cross-team alignment","innovation sprint, MVP, customer discovery, growth experiments, alignment",Innovation growth sprint,Corporate Innovation,Enterprise innovation,"innovation, growth hacking, workshop, MVP, corporate"
Go Grow Coffee Sessions,2-Oct-21,Workshop,Coffee Sessions: Growth-hacking and Processes for Early Stage Startups,Copenhagen School of Entrepreneurship (CBS),https://cse.cbs.dk/go-grow/,"Go Grow, CBS CSE","Keynote, Workshop",In-Person,2 Hours,https://cse.cbs.dk/,-,-,-,"Frederiksberg, Denmark","Porcelænshaven 26, 2000 Frederiksberg, Denmark",Higher Education,University Center,"entrepreneurship, accelerator, education, Denmark, startups","Process-driven growth, lightweight ops, repeatable experiments, founder routines","growth process, ops, funnels, experiments, KPIs",Growth process,Start-ups and Entrepreneurship,Founders,"growth process, startups, GTM, operations, experiments"
Global Sustainable Development Summit 2021,25-Sep-21,Virtual Conference,"CEST Corporate x Startup Collaboration, fostering innovation, SDG#9",GCPIT,-,GCPIT,Keynote,Online,15 Minutes,https://gcpit.org/,-,-,-,"Bengaluru, India",-,International Trade and Economic Development,Trade Organization,"international trade, global events, SDGs, business council, networking","Partnership models, innovation pipelines, collaboration pitfalls, SDG-focused value creation","open innovation, partnerships, pilots, governance, SDG9",Corporate-startup collaboration,Corporate Innovation,Corporates,"innovation, partnerships, SDG, corporate-startup, strategy"
Grundfos Growth-Hacking Innovation,15-Sep-21,Workshop,Full day workshop on growth-hacking inside of corporate innovation,Grundfos,https://www.grundfos.com/,Internal Workshop,Workshop,In-Person,8 Hours,https://www.grundfos.com/,-,-,-,"Bjerringbro, Denmark","Poul Due Jensens Vej 7, 8850 Bjerringbro, Denmark",Industrial Manufacturing and Water Technology,Corporate,"water technology, manufacturing, sustainability, global enterprise, innovation","Innovation team playbooks, experiment design, internal alignment, execution cadence","experiment design, internal stakeholders, innovation KPIs, roadmaps, playbooks",Corporate innovation,Corporate Innovation,Innovation teams,"corporate innovation, experiments, growth hacking, workshop, KPIs"
TechBBQ,22-Sep-21,Conference,SaaS Growth Fireside Chat: How Growth-Hacking Is Changing Saas,TechBBQ,https://techbbq.dk/,TechBBQ,"Host, Panel",In-Person,1 Hour,https://techbbq.dk/,-,https://youtu.be/9BzLSrtuUOU,-,"Copenhagen, Denmark","Lokomotivværkstedet, Otto Busses Vej 5A, 2450 Copenhagen SV, Denmark",Startup Ecosystem and Events,Conference Organizer,"startup conference, nordics, investors, founders, networking","SaaS growth trends, experimentation culture, automation, scaling playbooks","SaaS metrics, experimentation, automation, growth teams, scaling",SaaS growth,Start-ups and Entrepreneurship,SaaS founders,"SaaS, growth hacking, fireside chat, scaling, nordics"
Copenhagen Fintech Cohort Workshop,10-Sep-21,Workshop,"Growth & Partnerships, installing growth loops",Copenhagen Fintech,https://copenhagenfintech.dk/,Accelerator Workshop,Workshop,In-Person,2 Hours,https://copenhagenfintech.dk/,-,-,-,"Copenhagen, Denmark","Applebys Plads 7, 1411 København K, Denmark",Fintech,Industry Association,"fintech hub, ecosystem, acceleration, community, Denmark","Partnership strategy, ecosystem distribution, repeatable growth loops, fintech go-to-market","partnerships, growth loops, channel strategy, ecosystems, metrics",Growth loops,Start-ups and Entrepreneurship,Fintech startups,"fintech, partnerships, growth loops, distribution, ecosystems"
Datto GameChanger,2-Sep-21,Workshop,How to Increase Sales Using Growth Hacking Tactics,Datto,https://www.datto.com/,Datto GameChanger Series,Workshop,In-Person,1.5 Hours,https://www.datto.com/,https://www.datto.com/uk/events/datto-gamechanger-how-to-increase-sales-using-growth-hacking-tactics,https://youtu.be/EjgQyyLVSuY,https://youtu.be/kyc2N4znjGs,"Norwalk, United States",-,IT Management and Cybersecurity,SaaS,"MSP, backup, RMM, cybersecurity, IT management","Pipeline growth hacks, outreach optimization, qualification, conversion improvement","pipeline, outreach, qualification, conversion, KPIs",Sales growth,Digital Marketing Sales,B2B sales,"sales, growth hacking, pipeline, outbound, B2B"
Piratex Growth-Hacking Conference,2-Sep-21,Conference,"Raise Funds, pitch deck creation and investor relations for getting start-up funding",Piratex,https://piratex.com/,PirateX,Workshop,Online,1.5 Hours,https://piratex.com/,-,-,-,"Berlin, Germany",-,Startup Events and Education,Conference Organizer,"startup conference, founders, pitching, investors, community","Pitch deck story, investor relations, fundraising narrative, traction proof","pitch deck, investor relations, fundraising, storytelling, investor pipeline",Fundraising pitch,Start-ups and Entrepreneurship,Startup founders,"fundraising, pitch deck, investors, storytelling, startups"
Social Media ROI - Falcon Social Conference,24-Aug-21,Webinar,How to use calculate ROI and a social media budget proactively and reactively depending on performance,Brandwatch,https://www.brandwatch.com/,Falcon.io Conference,Workshop,In-Person,1 Hour,https://www.brandwatch.com/,https://www.falcon.io/videos/marketing-budget/access/,-,-,"Copenhagen, Denmark",-,Social Media Management and Analytics,SaaS,"social listening, social media management, analytics, enterprise SaaS, marketing teams","Budgeting frameworks, ROI measurement, forecasting, performance reporting for social","ROI, budgeting, attribution, reporting, KPIs",Social ROI,Digital Marketing Sales,Social media teams,"social media, ROI, budgeting, analytics, reporting"
Hype Sports Innovation Session,21-Jun-21,Webinar,"Growth-hacks and easy wins for start-ups in esports, getting traction early",Hype Sports Innovation,https://www.hypesportsinnovation.com/,Hyper Sports Innovation Accelerator,"Webinar, Workshop",Online,1 Hour,https://www.hypesportsinnovation.com/,-,-,-,"Petah Tikva, Israel",-,Sports Tech and Innovation,Accelerator,"sports tech, innovation hub, startups, ecosystem, esports","Early traction for esports startups, community, partnerships, growth loops, experiments","community, partnerships, growth loops, user acquisition, retention",Esports traction,Start-ups and Entrepreneurship,Esports,"esports, growth hacking, sports tech, traction, startups"
Talent Garden Digital Grads Q&A,11-Jun-21,Webinar,"Q&A with Taylor Ryan, Talent Garden digital marketing course",Talent Garden,https://talentgarden.com/,Talent Garden Community Series,Webinar,In-Person,30 Minutes,https://talentgarden.org/,https://talentgarden.org/en/innovation-school/denmark/digital-marketing-course/,-,-,"Copenhagen, Denmark","Danneskiold-Samsøes Allé 41, 1434 Copenhagen, Denmark",Digital Education and Training,Education Provider,"digital skills, bootcamps, education, careers, Denmark","Career Q&A, growth mindset, practical marketing, tools, tactics","career advice, growth tactics, digital marketing, tool stack, Q&A",Marketing careers,Job Search,Marketing students,"career, digital marketing, Q&A, skills, growth"
HYPE GVA2.0 Session,1-Jun-21,Webinar,"HYPE GVA2.0 Session, mind-blowing pitching and hacks to meet investors",Hype Sports Innovation,https://www.hypesportsinnovation.com/,Hyper Sports Innovation Accelerator,"Webinar, Workshop",Online,1 Hour,https://www.hypesportsinnovation.com/,-,https://www.youtube.com/watch?v=NwJk1G-Kc2o&t=1780s,-,"Petah Tikva, Israel",-,Sports Tech and Innovation,Accelerator,"sports tech, innovation hub, startups, ecosystem, investors","Investor readiness, pitch clarity, traction signals, outreach systems, fundraising strategy","pitching, fundraising, investor outreach, traction, storytelling",Pitching,Start-ups and Entrepreneurship,Sports startups,"pitching, fundraising, sports tech, investors, startups"
Event Marketing Unlocked,27-May-21,Virtual Conference,"HYPE GVA2.0 Session, mind-blowing pitching and hacks to meet investors",InEvent,https://inevent.com/,Inevent Conference,Webinar,Online,1 Hour,https://inevent.com/,https://mobile.twitter.com/ineventapp/status/1394365107686236162,https://youtu.be/B5-hTQ0wKc0,-,"Atlanta, United States",-,Event Management Software,SaaS,"virtual events, registration, streaming, engagement, analytics","Pitch clarity, traction proof, investor outreach, fundraising narrative","pitching, fundraising, investor outreach, traction, storytelling",Pitching,Start-ups and Entrepreneurship,Startup founders,"pitching, investors, fundraising, virtual events, startups"
Antler Stockholm Cohort Workshop,14-Mar-21,Accelerator Program,Growth-hacking quick wins for early stage startups in the Antler program,Antler,https://www.antler.co/residency,Antler Accelerator Program,Webinar,In-Person,1 Hour,https://www.antler.co/,-,-,-,"Stockholm, Sweden",-,Venture Capital,Venture Capital,"pre-seed investor, accelerator, founder community, Nordics, startup studio","Quick-win experiments, channel selection, prioritization, early traction metrics","experiments, prioritization, channels, metrics, growth loops",Quick wins,Start-ups and Entrepreneurship,Founders,"antler, traction, growth hacking, startups, experimentation"
Startup Rekry Conference,10-Mar-21,Webinar,Job search growth-hacking and building your startup dream team,International Tampere,https://duunitori.fi/tyopaikat/ammatti/startup,Startup Rekry ,Webinar,Online,1 Hour,https://internationaltampere.fi/,https://internationaltampere.fi/article/startuprekry/,https://youtu.be/yn9bqJsaEks,-,"Tampere, Finland","Rautatienkatu 10, 33100 Tampere, Finland",Economic Development and Talent Attraction,Public Organization,"talent attraction, startup ecosystem, Finland, jobs, community","Outreach playbooks, personal branding, sourcing talent, hiring funnel systems","job search, outreach, hiring, personal branding, networking",Job search growth,Job Search,Job seekers,"job search, hiring, outreach, personal brand, startups"
Design for Growth Summit,19-Feb-21,Webinar,"Growth-Hacking UX, tips, tricks and psychology hacks for converting more users",LearnWorlds,https://designforgrowth.learnworlds.com/,Design for Growth Summit,Webinar,Online,45 Minutes,https://www.learnworlds.com/,-,https://youtu.be/32UkDWTWWus,-,"Athens, Greece",-,E-learning Software,SaaS,"LMS, eLearning, course creators, SaaS, remote","Conversion psychology, UX patterns, friction removal, A/B testing","psychology, UX, CRO, experimentation, user journeys",UX conversion,Digital Marketing Sales,Product teams,"UX, CRO, psychology, experimentation, product growth"
CPHBusiness Guest Lecture,2-Feb-21,Lecture,Growth-Hacking in eCommerce,CPHBusiness,-,-,Lecture,In-Person,1.5 Hours,https://www.cphbusiness.dk/,-,-,-,"Copenhagen, Denmark","Nansensgade 19, 1366 Copenhagen, Denmark",Higher Education,Business Academy,"applied business education, entrepreneurship, Denmark, students, ecommerce","Ecommerce acquisition, conversion optimization, retention loops, analytics","ecommerce funnel, CRO, retention, analytics, growth loops",Ecommerce growth,Digital Marketing Sales,Ecommerce,"ecommerce, growth hacking, CRO, analytics, retention"
"Global Innovation, Incubation and Entrepreneurship Summit",29-Jan-21,Virtual Conference,"Innovation, Global Council for The Promotion of International Trade",GCPIT,-,GCPIT,Webinar,Online,1 Hour,https://gcpit.org/,https://gcpit.org/event/giiesummit/,-,-,"Bengaluru, India",-,International Trade and Economic Development,Trade Organization,"international trade, global summit, entrepreneurship, innovation, networking","Innovation trends, entrepreneurship, collaboration models, global ecosystem playbooks","innovation, entrepreneurship, collaboration, ecosystems, strategy",Innovation,Corporate Innovation,Entrepreneurs,"innovation, entrepreneurship, global trade, summit, startups"
ProductLed Summit,26-Jan-21,Virtual Conference,"Product Marketing Growth-Hacks, SaaS Growth using automation, discover your North Star Metric",ProductLed,https://summit.productled.com/,ProductLed Summit,Webinar,Online,3 Hours,https://productled.com/,https://summit.productled.com/,https://youtu.be/ZOFOqFA_BJs,-,"Toronto, Canada",-,Product Growth and Training,Consultancy,"PLG, SaaS, training, community, workshops","PLG playbook, automation, north star metrics, onboarding, activation, retention","north star metric, PLG, automation, onboarding, experimentation",Product-led growth,Product,SaaS,"PLG, SaaS, north star metric, automation, product marketing"
Startup Wise Guys Cohort Workshop 2,19-Jan-21,Webinar / Workshop,"Cohort Workshop 2, Content Marketing 101, SaaS",Startup Wise Guys,https://startupwiseguys.com/,Startup WiseGuys Accelerator,"Webinar, Workshop",In-Person,4 Hours,https://startupwiseguys.com/,-,-,-,"Tallinn, Estonia","A. Lauteri tn 3, 10114 Tallinn, Estonia",Startup Acceleration and VC,Accelerator,"accelerator, mentoring, early-stage, Baltic, founders","Content strategy, messaging, distribution, SEO basics, conversion content","content strategy, SEO, distribution, messaging, measurement",Content marketing,Digital Marketing Sales,SaaS startups,"content marketing, SaaS, startups, distribution, SEO"
Startup Wise Guys Cohort Workshop 1,14-Jan-21,Webinar / Workshop,"Cohort Workshop 1, Content Marketing for Early Stage Startups",Startup Wise Guys,https://startupwiseguys.com/,Startup WiseGuys Accelerator,"Webinar, Workshop",In-Person,4 Hours,https://startupwiseguys.com/,-,-,-,"Tallinn, Estonia","A. Lauteri tn 3, 10114 Tallinn, Estonia",Startup Acceleration and VC,Accelerator,"accelerator, mentoring, early-stage, Baltic, founders","Content fundamentals, positioning, channel fit, distribution systems, measurement loops","positioning, messaging, distribution, SEO basics, conversion content",Content marketing,Digital Marketing Sales,Startups,"content marketing, startups, distribution, messaging, fundamentals"
2020,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Innovation in Pharma,11-Dec-20,Webinar,Growth-hacks for corporate innovation and Pharma,UCB,https://www.ucb.com/,UCB - Internal Learning Program,Webinar,Online,2 Hours,https://www.ucb.com/,-,-,-,"Brussels, Belgium","Allée de la Recherche 60, 1070 Brussels, Belgium",Biopharmaceuticals,Pharma,"biopharma, innovation, R&D, digital health, global","Rapid experiments, internal buy-in, innovation funnel design, measurable progress","rapid experimentation, innovation funnels, stakeholder buy-in, KPIs, governance",Corporate innovation,Corporate Innovation,Pharma innovation teams,"innovation, experimentation, pharma, internal growth, governance"
SEO and Growing Digitally,9-Dec-20,Webinar,SEO and Digital Growth: Novo Nordisk,Novo Nordisk,-,Novo Nordisk - Internal Workshop,Webinar,In-Person,1.5 Hours,https://www.novonordisk.com/,-,-,-,"Bagsværd, Denmark","Novo Allé 1, 2880 Bagsværd, Denmark",Pharmaceuticals,Pharma,"pharma, global brand, healthcare, digital, regulated marketing","SEO strategy in regulated orgs, content systems, technical hygiene, measurement","technical SEO, content governance, analytics, stakeholder alignment, compliance",SEO strategy,Digital Marketing Sales,Pharma marketers,"SEO, content, analytics, regulated marketing, technical SEO"
HYPE Sports Innovation (Hong Kong Cohort),8-Dec-20,Webinar,HYPE Hong Kong Cohort Session,HYPE Sports Innovation,https://www.hypesportsinnovation.com/,Hyper Sports Innovation Accelerator,Webinar,Online,1 Hour,https://www.hypesportsinnovation.com/,https://youtu.be/hCOef2ZyKew?si=3Rm3PmiUiB6Vx9p9,-,-,"Petah Tikva, Israel",-,Sports innovation,Accelerator,"accelerator, sports tech, startups, mentorship, innovation","Traction tactics, partnerships, funnels, fast experiments for sports startups","partnerships, funnels, experimentation, traction, cohort coaching",Traction tactics,Start-ups and Entrepreneurship,Sports tech founders,"startup growth, partnerships, funnels, experimentation, traction"
Innovation Leadership Summit,18-Nov-20,Webinar,Secrets to Corporate Innovation and Rapid Experimentation,Really Good Innovation,https://www.reallygoodinnovation.com/,Innovation Leadership Summit,Webinar,Online,1.5 Hours,https://www.reallygoodinnovation.com/,-,-,-,"Copenhagen, Denmark",-,Innovation advisory,Innovation consultancy,"innovation, experimentation, leadership, talks, strategy","Build innovation cadence, run smarter experiments, ship wins inside big organizations","experiment design, innovation cadence, stakeholder buy-in, rapid learning",Rapid experimentation,Corporate Innovation,Corporate innovation teams,"corporate innovation, experimentation, leadership, culture, execution"
INSEAD MBA Alumni Association Webinar,4-Nov-20,Webinar,Growth-Hacking and the Future of Digital Marketing,INSEAD,https://www.insead.edu/alumni,INSEAD Alumni,Webinar,Online,1 Hour,https://www.insead.edu/,-,-,-,"Fontainebleau, France","Boulevard de Constance, 77305 Fontainebleau, France",Higher education,Business school,"MBA, alumni, executive education, global network, leadership","Modern growth systems, experimentation culture, automation, and where marketing is heading","growth systems, experimentation, automation, marketing ops, future trends",Growth systems,Digital Marketing Sales,MBA alumni,"growth hacking, marketing ops, automation, experimentation, strategy"
Growth-Hacking Communities Workshop,1-Oct-20,Workshop,Workshop On Location: Growth-Hacking Communities,IVN,-,IVN Network,Workshop,In-Person,8 Hours,https://ivn.dk/,-,https://youtu.be/RyMDpPsvIfY,https://youtu.be/6G_1SP1RLY4,"Risskov, Denmark","Lystrupvej 1E, 8240 Risskov, Denmark",Innovation network,Industry network,"innovation network, community, founders, events, Denmark","Growth loops for communities, retention mechanics, programming, content, measurement","community growth, retention, programming, growth loops, measurement",Community growth,Community Channels,Community builders,"community, growth loops, retention, programming, measurement"
Pitch Your Startup,3-Sep-20,Startup Competition,AI and Logistics Startup Competition Judge,Farvest,-,Favest Startup Competition,Judge,Online,8 Hours,https://farvest.ch/,https://www.pitchyourstartup.eu/blog/taylor-ryan,-,-,"Luxembourg, Luxembourg",-,Venture capital,Venture capital,"VC, investment, startups, pitch competition, Luxembourg","Judge pitches, challenge assumptions, score teams, sharpen story and milestones","pitch scoring, traction review, investor Q&A, storytelling, milestones",Pitch judging,Start-ups and Entrepreneurship,Startup founders,"pitching, VC, judging, traction, storytelling"
PirateX,1-Sep-20,Virtual Conference,Growth-Hacking Wins for Any Business to Get Immediate Results,PirateX,https://piratesummit.com/,Pirate Summit,Masterclass,Online,1 Hour,https://pirate-x.com/,-,https://youtu.be/t5ufX_jQuYc,-,"Cologne, Germany",-,Startup events,Conference organizer,"startups, conference, founders, talks, networking","Quick wins, channel tests, systems and tactics that drive results fast","quick wins, channels, growth systems, experimentation, prioritization",Quick wins,Digital Marketing Sales,Founders and marketers,"growth hacking, experimentation, channels, systems, quick wins"
Lundbeck Workshop,18-Aug-20,Workshop,Growth-Hacking in Corporations + Innovation Processes,Lundbeck,https://rainmaking.io/,Talent Garden Rainmaking,Workshop,In-Person,2 Days,https://www.lundbeck.com/global,-,-,-,"Copenhagen, Denmark","Ottiliavej 9, 2500 Valby, Copenhagen, Denmark",Pharmaceuticals,Pharma,"pharma, innovation, corporate growth, Denmark, R&D","Internal experimentation, growth mindset, innovation process, scaling frameworks","experimentation, innovation process, internal alignment, scaling frameworks",Corporate innovation,Corporate Innovation,Corporate innovation teams,"corporate innovation, experimentation, growth, process, scaling"
HYPE Sports Innovation,4-Aug-20,Webinar,Practical tools for Growth Hacking,HYPE Sports Innovation,https://www.hypesportsinnovation.com/,Hyper Sports Innovation Accelerator,Webinar,Online,1 Hour,https://www.hypesportsinnovation.com/,-,-,-,"Petah Tikva, Israel",-,Sports innovation,Accelerator,"accelerator, sports tech, startups, mentorship, innovation","Frameworks and tactics to find traction, test channels, and scale what works","frameworks, channel tests, traction, prioritization, measurement",Traction toolkit,Start-ups and Entrepreneurship,Sports tech founders,"growth hacking, traction, channels, experimentation, metrics"
Tenbound Webinar,1-Jul-20,Webinar,Marketing Secrets Sales Development Can Use to Drive Pipeline,Tenbound,https://youtu.be/KWNdbb8_5tQ?si=i3VykSQtDQXikxSn,Tenbound Webinar,Webinar,Online,1 Hour,https://tenbound.com/,-,-,-,"Daly City, United States",-,Sales enablement,Sales community,"SDR, sales enablement, B2B, pipeline, community","Targeting, messaging, outreach alignment, and pipeline mechanics that convert","targeting, messaging, outreach alignment, pipeline, conversion",Pipeline growth,Digital Marketing Sales,SDR leaders,"sales development, pipeline, targeting, messaging, outreach"
InEvent Online Communities,2-Jul-20,Virtual Conference,Building communities for growth and driving conversions,InEvent,https://inevent.com/blog/interviews-en/growth-hacking-martech-taylor-ryan-interview.html,InEvent Conference,Webinar,Online,2.5 Hours,https://inevent.com/,-,https://youtu.be/IsT6asLQHNE,-,"Atlanta, United States",-,Event technology,SaaS,"virtual events, event tech, webinars, community, B2B","Community strategy tied to activation, engagement, and conversion goals","activation, engagement, community strategy, conversion, lifecycle",Community conversion,Community Channels,Community teams,"community, activation, engagement, conversion, lifecycle"
Future Proofing Next Awards,23-Jun-20,Panel,Future Proofing Next - Innovation Awards Panelist,Future Proofing Next,https://futureproofingnext.com/,Future Proofing Next Awards,Panelist,Online,1.5 Hours,https://futureproofingnext.com/,-,-,-,"-, United States",-,Innovation community,Community,"innovation, awards, corporate, ecosystem, networking","Evaluate innovation programs, debate impact, and spotlight what wins in the real world","innovation evaluation, judging, corporate programs, impact, criteria",Innovation awards,Corporate Innovation,Corporate innovators,"innovation awards, judging, corporate innovation, impact, ecosystem"
Startup Wise Guys - Jump for Italy (Jury),26-Jun-20,Startup Competition,“Jump for Italy” Startup Evaluation Jury,Startup Wise Guys,https://startupwiseguys.com/more-than-45-startups-activated-through-jump-for-italy-program/,Jump for Italy,Moderator,Online,1 Hour,https://startupwiseguys.com/,-,-,-,"Milan, Italy",-,Startup accelerator,Accelerator,"accelerator, founders, mentoring, pitch evaluation, Europe","Moderate evaluations, push clarity, score readiness, and select teams to advance","evaluation, moderation, pitching, readiness scoring, selection",Startup evaluation,Start-ups and Entrepreneurship,Startup founders,"accelerator, jury, pitching, evaluation, selection"
Startup Wise Guys - Jump for Italy (Webinar),23-Jun-20,Webinar,Growth-Hacking for Startups: Quick Wins and Scalable Growth Tools,Startup Wise Guys,https://startupwiseguys.com/more-than-45-startups-activated-through-jump-for-italy-program/,Jump for Italy,Webinar,Online,1 Hour,https://startupwiseguys.com/,-,https://youtu.be/Uuq81f9iTjc,-,"Milan, Italy",-,Startup accelerator,Accelerator,"accelerator, founders, mentoring, pitch evaluation, Europe","Quick wins, scalable processes, tools, and growth methodology for startups","quick wins, processes, tools, growth methodology, scaling",Scalable growth,Start-ups and Entrepreneurship,Startup founders,"growth hacking, tools, processes, scaling, startups"
Growth Secrets Live,13-Mar-20,Webinar,Growth Secrets: Growth-Hacking Team,Growth Secrets,https://growthsecrets.thinkific.com/,Growth Secrets Live,Host,In-Person,2 Hours,https://growthsecrets.org/,-,https://youtu.be/0bj8mriNIvs,https://youtu.be/mHYWWdXkYbI,"Copenhagen, Denmark",-,Marketing education,Education platform,"growth hacking, online education, workshops, community, marketing","Growth roles, team setup, playbooks, operating cadence, and execution systems","growth team, playbooks, cadence, execution, org design",Growth team ops,Digital Marketing Sales,Growth teams,"growth team, playbooks, execution, cadence, org design"
Luggage Hero Webinars,22-Apr-20,Webinar,Growth Hacks and the Future of the Hospitality and Travel Industry,LuggageHero,-,-,Webinar,Online,1.5 Hours,https://luggagehero.com/,https://www.linkedin.com/posts/taylorryan_covid19marketing-startups-webinar-activity-6657971640883916800-Hz4c/,https://vimeo.com/410987762,https://youtu.be/8BQ9q5ZDdn8,"Copenhagen, Denmark",-,Travel technology,Travel tech,"travel tech, marketplace, urban mobility, hospitality, Denmark","Travel growth tactics, demand capture, partnerships, and shifting user behavior","partnerships, demand capture, funnels, retention, travel trends",Travel growth,Digital Marketing Sales,Travel tech operators,"travel tech, hospitality, growth, partnerships, funnels"
Talent Garden Italy - Growth-Hacking,15-Apr-20,Webinar,Growth Hacking Faculty: Becoming a Growth-Hacker and Start-up Founder,Talent Garden,-,Masterclass Overview,Webinar,Online,2 Hours,https://talentgarden.com/en/,-,-,-,"Milan, Italy",-,Education and coworking,Education platform,"digital education, coworking, startups, Italy, marketing","Growth foundations, experimentation, channels, and founder mindset for early traction","experimentation, channels, founder mindset, growth foundations, tactics",Growth foundations,Start-ups and Entrepreneurship,Students and founders,"growth hacking, startups, experimentation, channels, founder mindset"
Talent Garden - Sports Tech Accelerator,5-Mar-20,Workshop,Sports Tech Startups Workshop - Quick wins and Bootstrapped Growth,Talent Garden,https://talentgarden.com/en/,Sports Tech Accelerator,Workshop,In-Person,1.5 Hours,https://talentgarden.com/en/,-,https://youtu.be/HMxdlRlnPXc,https://youtu.be/bBc_KSHDveY,"Milan, Italy",-,Education and coworking,Education platform,"digital education, coworking, startups, Italy, marketing","Bootstrapped tactics, fast tests, and traction systems for sports tech startups","bootstrapping, traction, experiments, channels, sports tech",Bootstrapped growth,Start-ups and Entrepreneurship,Sports tech founders,"bootstrapping, traction, experiments, sports tech, channels"
MAN Energy Workshop,2-Mar-20,Workshop,Planning innovation internally - Corporate innovation workshop,MAN Energy Solutions,https://rainmaking.io/,Rainmaking,Workshop,In-Person,30 Minutes,https://www.man-es.com/,-,https://www.youtube.com/watch?v=9XU_Ry-zWtQ,-,"Augsburg, Germany",-,Industrial engineering,Industrial manufacturing,"industrial, engineering, energy, innovation, B2B","Innovation planning, internal alignment, experiment roadmap, and execution rhythm","innovation planning, alignment, roadmap, experimentation, execution",Innovation planning,Corporate Innovation,Corporate innovation teams,"corporate innovation, planning, experimentation, roadmap, execution"
Growth Secrets Live,27-Feb-20,Webinar,Growth Secrets - Corporate Innovation,Growth Secrets,https://growthsecrets.thinkific.com/,Growth Secrets Live,Host,In-Person,1.5 Hours,https://growthsecrets.org/,-,https://www.youtube.com/watch?v=bja8oOovpsA,https://youtu.be/W12JoPThESU,"Copenhagen, Denmark",-,Marketing education,Education platform,"growth hacking, online education, workshops, community, marketing","Innovation tactics, experimentation culture, and execution systems inside corporates","corporate innovation, experimentation, culture, execution systems",Corporate innovation,Corporate Innovation,Corporate teams,"corporate innovation, experimentation, culture, execution, systems"
Growth Secrets Live,11-Feb-20,Webinar,Creating a Growth-Engine With Marketing Tech Stacks,Growth Secrets,https://growthsecrets.thinkific.com/,Growth Secrets Live,Host,In-Person,1.5 Hours,https://growthsecrets.org/,-,https://youtu.be/thQwc9ECcA0,https://youtu.be/ijAtzN9bSkk,"Copenhagen, Denmark",-,Marketing education,Education platform,"growth hacking, online education, workshops, community, marketing","Stack selection, automation, attribution, and systems that scale growth intelligently","martech stack, automation, attribution, workflows, systems",Marketing ops,Digital Marketing Sales,Marketing leaders,"martech, automation, attribution, workflows, growth engine"
